calle,calle_proper,plazas_pmr,plazas_total,metros_pmr,zonas_cyd,nplazas_cyd,metros_cyd,plazas_ora,tipo_ora,ubicacion_ora,latitude,longitude
"PERIODISTA JOSE MARIA CARULLA, CALLE",Calle Periodista José María Carulla,2,2,9.30,1,0,10.90,0,Ninguno,Ninguna,,
"PERIODISTA LUIS DE VICENTE, CALLE",Calle Periodista Luis de Vicente,2,2,13.00,0,0,0.00,0,Ninguno,Ninguna,,
"PERIODISTA RAFAEL GOMEZ MONTERO, CALLE",Calle Periodista Rafael Gómez Montero,1,2,11.20,0,0,0.00,0,Ninguno,Ninguna,,
"PERIODISTA RICARDO LOPEZ JOFRE, CALLE",Calle Periodista Ricardo López Jofre,1,2,10.40,0,0,0.00,0,Ninguno,Ninguna,,
"PERU, CALLE",Calle Perú,0,0,0.00,1,0,11.00,0,Ninguno,Ninguna,,
"PERUGIA, CALLE",Calle Perugia,1,2,11.50,0,0,0.00,0,Ninguno,Ninguna,,
"PIANISTA PEPITA BUSTAMANTE, CALLE",Calle Pianista Pepita Bustamante,1,1,5.00,0,0,0.00,0,Ninguno,Ninguna,,
"PIANISTA ROSA SABATER, CALLE",Calle Pianista Rosa Sabater,0,0,0.00,1,3,16.60,0,Ninguno,Ninguna,,
"PICO DEL CABALLO, CALLE",Calle Pico del Caballo,1,1,6.70,0,0,0.00,0,Ninguno,Ninguna,,
"PINTOR CHAVARITO, CALLE",Calle Pintor Chavarito,1,1,5.50,0,0,0.00,0,Ninguno,Ninguna,,
"PINTOR FERNANDO BELDA, CALLE",Calle Pintor Fernando Belda,1,1,7.90,0,0,0.00,0,Ninguno,Ninguna,,
"PINTOR HERMENEGILDO LANZ, CALLE",Calle Pintor Hermenegildo Lanz,1,1,7.50,1,0,13.70,0,Ninguno,Ninguna,,
"PINTOR ISMAEL DE LA SERNA, CALLE",Calle Pintor Ismael de la Serna,0,0,0.00,1,0,25.30,0,Ninguno,Ninguna,,
"PINTOR JOAQUIN CAPULINO JAUREGUI, CALLE",Calle Pintor Joaquín Capulino Jáuregui,1,1,6.50,0,0,0.00,0,Ninguno,Ninguna,,
CALLE PINTOR LOPEZ MEZQUITA,Calle Pintor López Mezquita,0,0,0.00,0,0,0.00,57,Azul,Toda la calle,,
"PINTOR MANUEL MALDONADO, CALLE",Calle Pintor Manuel Maldonado,2,4,20.60,1,0,20.00,0,Ninguno,Ninguna,,
"PINTOR RODRIGUEZ ACOSTA, CALLE",Calle Pintor Rodríguez Acosta,1,1,4.70,1,0,18.10,40,Azul,Toda la calle,,
"PINTOR VELAZQUEZ, CALLE",Calle Pintor Velázquez,0,0,0.00,1,0,22.01,12,Azul,Toda la calle,,
"PINTOR ZULOAGA, CALLE",Calle Pintor Zuloaga,2,3,20.70,2,0,27.20,0,Ninguno,Ninguna,,
"PITAGORAS, CALLE",Calle Pitágoras,1,1,6.50,0,0,0.00,0,Ninguno,Ninguna,,
"PIZARRO CENJOR, CALLE",Calle Pizarro Cenjor,1,1,4.70,0,0,0.00,0,Ninguno,Ninguna,,
"PLAYA SANTIAGO, CALLE",Calle Playa Santiago,1,1,5.00,0,0,0.00,0,Ninguno,Ninguna,,
"PLEGADERO BAJO, CALLE",Calle Plegadero Bajo,1,1,9.60,0,0,0.00,0,Ninguno,Ninguna,,
"POCO TRIGO, CALLEJON",Callejón Poco Trigo,1,1,8.50,0,0,0.00,0,Ninguno,Ninguna,,
"POETA CESAR VALLEJO, CALLE",Calle Poeta César Vallejo,2,4,17.60,0,0,0.00,0,Ninguno,Ninguna,,
"POETA GARCILASO DE LA VEGA, PLAZA",Plaza Poeta Garcilaso de la Vega,1,1,5.50,0,0,0.00,0,Ninguno,Ninguna,,
"POETA GRACIAN, CALLE",Calle Poeta Gracián,3,4,23.60,1,0,16.10,0,Ninguno,Ninguna,,
"POETA JUAN BOSCAN, PLAZA, DEL",Plaza del Poeta Juan Boscán,2,2,5.90,0,0,0.00,0,Ninguno,Ninguna,,
"POETA MANUEL GONGORA, CALLE",Calle Poeta Manuel de Góngora,1,4,18.70,3,0,48.10,0,Ninguno,Ninguna,,
"POETA MIRA DE AMEZCUA, CALLE",Calle Poeta Mira de Amezcua,0,0,0.00,1,0,18.30,0,Ninguno,Ninguna,,
"POETA VICENTE ALEIXANDRE, CALLE",Calle Poeta Vicente Aleixandre,1,2,7.00,0,0,0.00,0,Ninguno,Ninguna,,
"POETA ZORRILLA, CALLE",Calle Poeta Zorrilla,1,1,3.60,0,0,0.00,0,Ninguno,Ninguna,,
"PRIMAVERA, CALLE",Calle Primavera,4,6,24.62,1,0,15.10,0,Ninguno,Ninguna,,
"PROFESOR AGUSTIN ESCRIBANO, CALLE",Calle Profesor Agustín Escribano,0,0,0.00,1,0,29.20,0,Ninguno,Ninguna,,
"PROFESOR MANUEL GARZON PAREJA, CALLE",Calle Profesor Manuel Garzón Pareja,2,2,8.20,1,0,20.50,0,Ninguno,Ninguna,,
"PROFESOR MOTOS GUIRAO, CALLE",Calle Profesor Motos Guirao,1,2,11.80,1,3,15.20,0,Ninguno,Ninguna,,
"PROGRESO, CUESTA, DEL",Cuesta del Progreso,1,2,20.26,1,0,23.00,0,Ninguno,Ninguna,,
"PULIANAS, AVENIDA, DE",Avenida de Pulianas,1,1,5.40,1,0,11.70,0,Ninguno,Ninguna,,
"PURCHE, CALLE, EL",Calle El Purche,1,2,7.90,0,0,0.00,0,Ninguno,Ninguna,,
"PURCHIL, CAMINO, DE",Camino de Purchil,0,0,0.00,1,0,32.90,0,Ninguno,Ninguna,,
"RADIO GRANADA, PLACETA",Placeta Radio Granada,1,1,5.50,0,0,0.00,0,Ninguno,Ninguna,,
"RE?IDERO, CALLE",Calle Reñidero,2,4,21.40,0,0,0.00,0,Ninguno,Ninguna,,
"REAL DE CARTUJA, CALLE",Calle Real de Cartuja,1,3,19.00,2,2,29.00,0,Ninguno,Ninguna,,
"REAL DE LOS NEVEROS, CAMINO",Camino Real de los Neveros,2,3,18.90,0,0,0.00,0,Ninguno,Ninguna,,
"RECOGIDAS, CALLE",Calle Recogidos,1,1,6.70,0,0,0.00,0,Ninguno,Ninguna,,
"RECOLETOS, CALLE",Calle Recoletos,1,1,3.90,0,0,0.00,0,Ninguno,Ninguna,,
"RECTOR ANTONIO GALLEGO MORELL, PASEO",Paseo Rector Antonio Gallego Morell,2,7,35.70,0,0,0.00,0,Ninguno,Ninguna,,
CALLE RECTOR LOPEZ ARGUETA,Calle Rector López Argüeta,0,0,0.00,0,0,0.00,13,Azul,Toda la calle,,
"RECTOR MARIN OCETE, CALLE",Calle Rector Marín Ocete,1,2,12.30,1,0,14.00,41,Azul,Toda la calle,,
PLAZA DE RENFE,Plaza de Renfe,0,0,0.00,0,0,0.00,82,Azul,Toda la calle,,
"REY ABU SAID, CALLE",Calle Rey Abu Said,1,1,4.70,2,0,40.80,0,Ninguno,Ninguna,,
"REY CHICO, CUESTA, DEL",Cuesta del Rey Chico,1,2,9.80,0,0,0.00,0,Ninguno,Ninguna,,
"RIBERA DEL BEIRO, CALLE",Calle Ribera del Beiro,2,6,23.20,1,0,17.70,0,Ninguno,Ninguna,,
"RIBERA DEL GENIL, CALLE",Calle Ribera del Genil,3,4,32.60,1,0,9.80,0,Ninguno,Ninguna,,
